iter	Passed	Remaining
405	6345	9283
406	6360	9267
407	6377	9253
408	6393	9237
409	6407	9220
410	6423	9205
411	6438	9189
412	6454	9174
413	6469	9156
414	6484	9141
415	6500	9125
416	6516	9111
417	6537	9102
418	6554	9088
419	6570	9073
420	6585	9057
421	6601	9042
422	6617	9026
423	6632	9010
424	6649	8996
425	6665	8981
426	6680	8964
427	6696	8949
428	6712	8934
429	6727	8918
430	6743	8902
431	6760	8888
432	6775	8871
433	6791	8857
434	6807	8842
435	6823	8826
436	6838	8810
437	6855	8796
438	6871	8780
439	6887	8765
440	6903	8750
441	6918	8734
442	6935	8719
443	6951	8704
444	6966	8688
445	6983	8674
446	6999	8658
447	7013	8641
448	7029	8626
449	7043	8609
450	7059	8594
451	7074	8577
452	7090	8561
453	7104	8544
454	7121	8530
455	7135	8512
456	7151	8496
457	7164	8478
458	7180	8463
459	7196	8448
460	7210	8431
461	7226	8414
462	7240	8397
463	7256	8382
464	7271	8365
465	7308	8375
466	7324	8360
467	7341	8345
468	7358	8331
469	7375	8317
470	7393	8303
471	7410	8289
472	7426	8274
473	7444	8260
474	7460	8245
475	7476	8230
476	7494	8217
477	7520	8212
478	7543	8204
479	7560	8190
480	7579	8177
481	7597	8165
482	7617	8153
483	7635	8140
484	7655	8128
485	7674	8116
486	7694	8105
487	7714	8094
488	7733	8081
489	7751	8067
490	7769	8054
491	7788	8041
492	7807	8028
493	7825	8016
494	7843	8001
495	7858	7985
496	7876	7971
497	7894	7957
498	7912	7943
499	7928	7928
500	7946	7914
501	7964	7900
502	7980	7885
503	7997	7870
504	8015	7856
505	8032	7842
506	8051	7829
507	8074	7820
508	8097	7810
509	8119	7800
510	8144	7793
511	8166	7783
512	8186	7771
513	8204	7757
514	8225	7746
515	8244	7732
516	8262	7718
517	8279	7704
518	8297	7689
519	8313	7674
520	8330	7659
521	8347	7643
522	8362	7627
523	8377	7610
524	8393	7594
525	8410	7578
526	8425	7562
527	8442	7547
528	8458	7531
529	8474	7515
530	8491	7500
531	8507	7484
532	8523	7467
533	8539	7452
534	8553	7434
535	8569	7418
536	8585	7402
537	8602	7386
538	8617	7370
539	8634	7355
540	8648	7338
541	8664	7321
542	8683	7308
543	8702	7294
544	8719	7279
545	8736	7264
546	8758	7253
547	8775	7237
548	8793	7223
549	8811	7209
550	8829	7194
551	8848	7181
552	8866	7167
553	8882	7151
554	8899	7135
555	8915	7119
556	8933	7105
557	8950	7089
558	8968	7075
559	8986	7060
560	9003	7045
561	9020	7030
562	9037	7015
563	9055	7000
564	9073	6985
565	9090	6970
566	9110	6957
567	9126	6941
568	9142	6924
569	9157	6908
570	9171	6890
571	9187	6874
572	9203	6858
573	9220	6843
574	9235	6826
575	9251	6810
576	9267	6793
577	9283	6777
578	9298	6761
579	9314	6744
580	9329	6728
581	9343	6710
582	9358	6694
583	9375	6678
584	9391	6662
585	9406	6645
586	9436	6639
587	9467	6633
588	9502	6630
589	9529	6621
590	9550	6609
591	9594	6612
592	9615	6599
593	9636	6586
594	9659	6575
595	9680	6561
596	9700	6548
597	9720	6534
598	9741	6521
599	9760	6506
600	9779	6492
601	9798	6478
602	9820	6465
603	9841	6452
604	9861	6438
605	9880	6424
606	9902	6411
607	9926	6400
608	9948	6387
609	9970	6374
610	9994	6362
611	10014	6348
612	10035	6335
613	10056	6321
614	10078	6309
615	10099	6295
616	10120	6281
617	10139	6267
618	10160	6253
619	10178	6238
620	10198	6224
621	10217	6209
622	10235	6194
623	10254	6178
624	10273	6164
625	10292	6149
626	10321	6140
627	10340	6125
628	10360	6110
629	10378	6095
630	10398	6080
631	10416	6065
632	10434	6049
633	10452	6034
634	10469	6017
635	10487	6002
636	10504	5985
637	10523	5970
638	10541	5955
639	10558	5939
640	10578	5924
641	10596	5908
642	10613	5892
643	10631	5876
644	10645	5858
645	10667	5845
646	10681	5827
647	10700	5812
648	10716	5796
649	10739	5783
650	10758	5767
651	10779	5753
652	10800	5739
653	10816	5722
654	10838	5708
655	10857	5693
656	10873	5676
657	10890	5660
658	10908	5644
659	10922	5626
660	10939	5610
661	10953	5592
662	10969	5575
663	10985	5558
664	11000	5541
665	11014	5524
666	11031	5507
667	11045	5489
668	11062	5473
669	11077	5456
670	11093	5439
671	11110	5422
672	11127	5406
673	11144	5390
674	11162	5374
675	11180	5358
676	11197	5342
677	11212	5325
678	11228	5308
679	11244	5291
680	11260	5274
681	11276	5257
682	11293	5241
683	11311	5225
684	11326	5208
685	11342	5191
686	11357	5174
687	11373	5157
688	11389	5140
689	11404	5123
690	11419	5106
691	11435	5089
692	11451	5072
693	11464	5055
694	11480	5038
695	11496	5021
696	11512	5004
697	11528	4987
698	11544	4971
699	11560	4954
700	11575	4937
701	11594	4921
702	11615	4907
703	11637	4892
704	11659	4878
705	11676	4862
706	11691	4845
707	11709	4829
708	11725	4812
709	11738	4794
710	11754	4777
711	11770	4761
712	11786	4744
713	11800	4726
714	11816	4710
715	11831	4693
716	11847	4676
717	11861	4658
718	11876	4641
719	11892	4624
720	11908	4607
721	11924	4591
722	11940	4574
723	11953	4557
724	11969	4540
725	11984	4523
726	11999	4506
727	12015	4489
728	12030	4472
729	12046	4455
730	12069	4441
731	12097	4429
732	12111	4411
733	12127	4395
734	12143	4378
735	12158	4361
736	12172	4343
737	12187	4326
738	12203	4310
739	12218	4293
740	12235	4276
741	12251	4260
742	12267	4243
743	12282	4226
744	12300	4210
745	12316	4193
746	12331	4176
747	12348	4160
748	12363	4143
749	12378	4126
750	12394	4109
751	12409	4092
752	12424	4075
753	12440	4058
754	12456	4042
755	12471	4025
756	12487	4008
757	12501	3991
758	12517	3974
759	12532	3957
760	12548	3940
761	12563	3924
762	12580	3907
763	12596	3891
764	12613	3874
765	12630	3858
766	12645	3841
767	12661	3824
768	12680	3809
769	12700	3793
770	12729	3780
771	12752	3766
772	12768	3749
773	12783	3732
774	12799	3715
775	12816	3699
776	12832	3682
777	12848	3666
778	12863	3649
779	12880	3633
780	12899	3617
781	12918	3601
782	12932	3584
783	12948	3567
784	12964	3550
785	12980	3534
786	12996	3517
787	13012	3500
788	13027	3484
789	13043	3467
790	13059	3450
791	13076	3434
792	13092	3417
793	13111	3401
794	13129	3385
795	13145	3369
796	13163	3352
797	13181	3336
798	13199	3320
799	13217	3304
800	13235	3288
801	13252	3271
802	13268	3255
803	13297	3241
804	13320	3226
805	13339	3210
806	13355	3194
807	13373	3177
808	13389	3161
809	13405	3144
810	13422	3128
811	13438	3111
812	13455	3094
813	13472	3078
814	13488	3061
815	13504	3045
816	13520	3028
817	13536	3011
818	13554	2995
819	13570	2978
820	13587	2962
821	13603	2945
822	13620	2929
823	13637	2912
824	13654	2896
825	13670	2879
826	13687	2863
827	13704	2846
828	13719	2830
829	13737	2813
830	13752	2796
831	13768	2780
832	13784	2763
833	13802	2747
834	13819	2730
835	13836	2714
836	13855	2698
837	13874	2682
838	13891	2665
839	13908	2649
840	13926	2632
841	13945	2616
842	13965	2600
843	13984	2584
844	14002	2568
845	14018	2551
846	14039	2536
847	14057	2519
848	14076	2503
849	14095	2487
850	14114	2471
851	14133	2455
852	14150	2438
853	14167	2422
854	14183	2405
855	14201	2388
856	14217	2372
857	14235	2355
858	14253	2339
859	14269	2322
860	14287	2306
861	14303	2289
862	14320	2273
863	14337	2256
864	14351	2239
865	14368	2223
866	14383	2206
867	14399	2189
868	14416	2173
869	14431	2156
870	14447	2139
871	14465	2123
872	14482	2106
873	14500	2090
874	14515	2073
875	14534	2057
876	14552	2041
877	14571	2024
878	14587	2008
879	14603	1991
880	14621	1975
881	14640	1958
882	14671	1944
883	14691	1927
884	14712	1911
885	14734	1895
886	14752	1879
887	14769	1862
888	14787	1846
889	14802	1829
890	14819	1812
891	14834	1796
892	14851	1779
893	14869	1763
894	14884	1746
895	14902	1729
896	14917	1712
897	14933	1696
898	14949	1679
899	14965	1662
900	14982	1646
901	14997	1629
902	15014	1612
903	15030	1596
904	15047	1579
905	15062	1562
906	15078	1546
907	15092	1529
908	15108	1512
909	15124	1495
910	15140	1479
911	15157	1462
912	15174	1445
913	15193	1429
914	15211	1413
915	15230	1396
916	15249	1380
917	15270	1363
918	15288	1347
919	15306	1331
920	15330	1315
921	15347	1298
922	15364	1281
923	15381	1265
924	15396	1248
925	15414	1231
926	15429	1215
927	15445	1198
928	15462	1181
929	15476	1164
930	15493	1148
931	15509	1131
932	15525	1114
933	15542	1098
934	15558	1081
935	15574	1064
936	15590	1048
937	15605	1031
938	15622	1014
939	15638	998
940	15655	981
941	15672	964
942	15688	948
943	15706	931
944	15722	915
945	15742	898
946	15760	882
947	15776	865
948	15794	848
949	15817	832
950	15836	815
951	15859	799
952	15875	782
953	15890	766
954	15906	749
955	15927	733
956	15942	716
957	15958	699
958	15974	682
959	15990	666
960	16007	649
961	16023	632
962	16039	616
963	16056	599
964	16073	582
965	16087	566
966	16104	549
967	16120	532
968	16137	516
969	16154	499
970	16170	482
971	16184	466
972	16200	449
973	16216	432
974	16231	416
975	16248	399
976	16264	382
977	16280	366
978	16296	349
979	16314	332
980	16330	316
981	16346	299
982	16362	282
983	16378	266
984	16392	249
985	16407	232
986	16427	216
987	16442	199
988	16457	183
989	16474	166
990	16489	149
991	16505	133
992	16522	116
993	16538	99
994	16554	83
995	16570	66
996	16589	49
997	16606	33
998	16624	16
999	16643	0
